"Albanië","4342.011","1.511"
"Algerije","130493.653","3.158"
"Angola","18021.394","0.605"
"Argentinië","183375.203","4.142"
"Armenië","5165.593","1.763"
"Australië","384583.857","15.632"
"Oostenrijk","64872.394","7.376"
"Azerbeidzjan","30805.851","3.124"
"Bahrein","29813.834","19.969"
"Bangladesh","78270.17","0.475"
"Wit-Rusland","54070.453","5.687"
"België","90368.188","7.963"
"Benin","6763.074","0.605"
"Bolivia","21899.18","1.981"
"Bosnië-Herzegovina","22327.978","6.367"
"Botswana","7717.409","3.367"
"Brazilië","427632.717","2.043"
"Brunei","6710.178","15.641"
"Bulgarije","42819.932","6.051"
"Ivoorkust","10234.205","0.421"
"Cambodja","10762.923","0.672"
"Kameroen","6152.919","0.256"
"Canada","547798.641","14.992"
"Chili","86087.14","4.648"
"China","9257933.9","6.678"
"Hong Kong","44034.675","5.957"
"Colombia","75291.911","1.535"
"Republiek Congo","2847.335","0.541"
"Costa Rica","7584.411","1.546"
"Kroatië","16193.172","3.925"
"Cuba","26215.665","2.283"
"Curaçao","3748.132","23.28"
"Cyprus","6367.874","7.448"
"Tsjechische Republiek","101682.752","9.602"
"Noord-Korea","19579.698","0.768"
"Congo (DRC)","2201.742","0.027"
"Denemarken","31263.57","5.421"
"Dominicaanse Republiek","21430.38","1.99"
"Ecuador","34299.317","2.063"
"Egypte","209219.059","2.145"
"El Salvador","5735.668","0.899"
"Eritrea","632.105","0.125"
"Estland","15972.029","12.137"
"Ethiopië","13059.815","0.124"
"Finland","42598.175","7.734"
"Frankrijk","306123.541","4.565"
"Gabon","3367.911","1.663"
"Georgië","8720.3","2.346"
"Duitsland","718794.085","8.696"
"Ghana","13779.635","0.478"
"Gibraltar","703.9","20.703"
"Griekenland","63213.31","5.878"
"Guatemala","15703.161","0.928"
"Haïti","3293.125","0.3"
"Honduras","9426.74","1.017"
"Hongarije","45783.636","4.678"
"IJsland","2173.307","6.336"
"India","2161567.072","1.614"
"Indonesië","496406.275","1.88"
"Iran","567123.294","6.987"
"Irak","139877.659","3.655"
"Ierland","35720.302","7.439"
"Israël","63766.189","7.322"
"Italië","321481.224","5.31"
"Jamaica","6971.666","2.412"
"Japan","1132435.4","8.938"
"Jordanië","25550.14","2.633"
"Kazachstan","255767.646","14.179"
"Kenia","16264.973","0.327"
"Kosovo","8168.55","4.461"
"Koeweit","89420.615","21.615"
"Kirgizië","8909.263","1.437"
"Letland","6679.644","3.441"
"Libanon","26931.044","4.428"
"Libië","41528.35","6.514"
"Litouwen","10811.096","3.831"
"Luxemburg","8631.187","14.458"
"Maleisië","211046.967","6.674"
"Malta","1516.276","3.261"
"Mauritius","4182.138","3.306"
"Mexico","445991.937","3.615"
"Mongolië","19276","6.267"
"Montenegro","2206.233","3.547"
"Marokko","58149.86","1.627"
"Mozambique","7624.932","0.257"
"Myanmar","30404.919","0.57"
"Namibië","4037.15","1.593"
"Nepal","10113.953","0.345"
"Nederland","155574.278","9.081"
"Nieuw Zeeland","32241.597","6.673"
"Nicaragua","5106.281","0.821"
"Niger","2048.704","0.095"
"Nigeria","85988.513","0.45"
"Noorwegen","34760.858","6.587"
"Oman","65498.56","14.128"
"Pakistan","183447.068","0.931"
"Panama","9612.198","2.345"
"Paraguay","7654.689","1.124"
"Peru","49693.643","1.545"
"Filippijnen","126487.694","1.206"
"Polen","305841.991","7.96"
"Portugal","50757.815","4.928"
"Qatar","80116.551","30.359"
"Zuid-Korea","600034.367","11.663"
"Moldavië","7526.673","2.12"
"Roemenië","70788.76","3.614"
"Rusland","1536878.825","10.636"
"Saoedi-Arabië","532181.611","16.157"
"Senegal","8311.532","0.524"
"Servië","46129.569","6.569"
"Singapore","47407.144","8.447"
"Slowakije","32212.012","5.924"
"Slovenië","13410.666","6.491"
"Zuid-Afrika","421682.392","7.435"
"Zuid Soedan","1549.031","0.123"
"Spanje","253423.277","5.446"
"Sri Lanka","23103.271","1.077"
"Soedan","18777.895","0.463"
"Suriname","1928.134","3.425"
"Zweden","37643.785","3.743"
"Zwitserland","37135.572","4.394"
"Syrië","23031.045","1.261"
"Tadzjikistan","5843.657","0.655"
"Thailand","244254.785","3.538"
"Togo","2082.434","0.267"
"Trinidad en Tobago","18007.573","13.154"
"Tunesië","26156.972","2.268"
"Turkije","378631.09","4.714"
"Turkmenistan","68998.881","11.983"
"Oekraïne","171300.035","3.821"
"Verenigde Arabische Emiraten","196510.174","20.905"
"Verenigd Koninkrijk","358731.281","5.432"
"Tanzania","10131.79","0.177"
"Verenigde Staten","4761301.727","14.606"
"Uruguay","5872.957","1.699"
"Oezbekistan","81156.397","2.506"
"Venezuela","113717.543","3.556"
"Vietnam","191243.601","2.002"
"Jemen","8919.998","0.316"
"Zambia","6007.872","0.351"
"Zimbabwe","9714.938","0.588"
